period,summary
Q1 2023,"In the first quarter of 2023, ransomware threats intensified, particularly with the emergence of LockBit 3.0 and Royal ransomware variants. LockBit 3.0 operates under a Ransomware-as-a-Service model, utilizing advanced tactics to remain undetected, while Royal ransomware employs double extortion methods, both of which pose significant risks to organizations, especially within critical sectors like healthcare. Cyber actors, including state-sponsored groups from North Korea, have increasingly targeted vital infrastructure, using illicitly obtained cryptocurrency for ransom payments and masking their identities through third-party intermediaries.

Organizations are strongly advised to enhance their cybersecurity measures by prioritizing vulnerability remediation, training employees to recognize phishing attempts, and implementing multifactor authentication. The growing trend of ransomware reinforces the importance of maintaining isolated data backups and developing comprehensive cyber incident response plans, with authorities urging organizations to refrain from ransom payments as they do not guarantee data recovery and may provoke further attacks."
Q2 2023,"In Q2 2023, the LockBit ransomware operation remained a dominant force in the cyber threat landscape, continuing its Ransomware-as-a-Service (RaaS) model and employing various tactics for attacks. The Cybersecurity and Infrastructure Security Agency (CISA) and the FBI issued a Cybersecurity Advisory emphasizing the persistent threats posed by LockBit and other groups like TA505 and CL0P, who have adapted their methods to include sophisticated phishing schemes, zero-day vulnerabilities, and double extortion tactics. Organizations are urged to bolster their defenses through measures such as phishing-resistant multi-factor authentication, network segmentation, and comprehensive incident response plans to better protect against these evolving ransomware threats.

Additionally, the emergence of groups like BianLian and the Bl00dy Ransomware Gang highlights the increasing complexity of cyber threats, as they leverage unique strategies such as exfiltration-based extortion and targeted attacks on specific sectors. The advisory underscores the critical importance of not paying ransoms, as it does not guarantee recovery and may perpetuate further criminal activity. Enhanced user training and proactive monitoring are vital in combating these threats and ensuring a robust cybersecurity posture."
Q3 2023,"In Q3 2023, the FBI highlighted a worrying trend in ransomware attacks, particularly the rise of dual ransomware incidents targeting the same victims with different variants, such as AvosLocker and LockBit. This method, combined with the use of dormant malware for data destruction, complicates recovery efforts and increases financial strain on organizations. The Snatch ransomware group has adapted its tactics, employing a ransomware-as-a-service model that incorporates data exfiltration and double extortion threats. 

Additionally, the malware landscape has seen the emergence of threats like QakBot and Truebot, both linked to ransomware operations and exploiting vulnerabilities through phishing campaigns. The FBI and CISA recommend implementing robust cybersecurity measures, including phishing-resistant multi-factor authentication and network segmentation, to counter these evolving threats and enhance organizational defenses."
Q4 2023,"In Q4 2023, ransomware threats remained a pressing concern, particularly with the rise of groups like ALPHV Blackcat and Play, both utilizing double-extortion tactics to maximize their leverage over victims. The ALPHV Blackcat variant showcased enhanced evasion capabilities, while Play's operations spanned multiple continents, threatening data leaks if ransoms were not paid. Additionally, the emergence of LockBit 3.0 raised alarms due to its ability to bypass multi-factor authentication, along with other sophisticated tactics employed by groups such as Scattered Spider and Rhysida.

Organizations are strongly advised to bolster their cybersecurity measures, emphasizing the importance of phishing-resistant multi-factor authentication, network segmentation, and regular software updates to mitigate these evolving threats. The ongoing trend of social engineering, particularly through impersonation of IT staff, highlights the necessity for robust training and incident response plans. Federal agencies continue to stress the need for proactive defenses and collaboration within the cybersecurity community to effectively combat the growing landscape of ransomware and phishing threats."
Q1 2024,"In the first quarter of 2024, organizations are increasingly urged to prioritize cybersecurity as a vital business objective, particularly in light of the significant threat posed by the Phobos ransomware, which employs a ransomware-as-a-service model and has specifically targeted critical infrastructure sectors like government and healthcare. The FBI and CISA have provided guidance on mitigating these risks, advising the adoption of multifactor authentication and securing Remote Desktop Protocol ports. Additionally, there has been a notable uptick in sophisticated cyber espionage tactics, particularly from the Russian GRU, as well as credential harvesting campaigns and the emergence of malware like Androxgh0st, which exploits vulnerabilities in widely used web application frameworks.

The evolving cyber threat landscape in Q1 2024 highlights the persistent focus on phishing attacks and the use of malware such as the Warzone Remote Access Trojan, emphasizing the need for organizations to adopt proactive defense strategies. To combat these threats, it is crucial for entities to implement best practices for securing systems, including network segmentation and recovery plans, to reduce vulnerabilities and strengthen their overall cybersecurity posture."
Q2 2024,"In Q2 2024, insider threats have become a pressing issue, particularly regarding unauthorized access to election systems through tactics like blackmail and coercion. This highlights the urgent need for improved access control and memory-safe programming practices, alongside enhanced cybersecurity training and the implementation of phishing-resistant multifactor authentication (MFA) to protect against credential theft.

Ransomware threats have also intensified, with the Black Basta variant targeting critical infrastructure through a double-extortion model that involves both data encryption and exfiltration. This group, along with others like Akira, has primarily utilized spearphishing techniques to gain access, emphasizing the necessity for organizations to update security measures, educate employees on phishing recognition, and bolster defenses to safeguard sensitive information. Overall, a comprehensive approach to security, including network segmentation and continuous monitoring, is essential in countering these evolving threats."
Q3 2024,"In Q3 2024, the cyber threat landscape has seen a significant rise in social engineering tactics, particularly phishing and spoofing, alongside an alarming escalation in ransomware operations. Notably, cyber actors from the People's Republic of China have established a botnet using Mirai malware, which poses risks for distributed denial-of-service (DDoS) attacks. Concurrently, Russian-affiliated groups have intensified their destructive campaigns against Ukrainian targets with malware like WhisperGate, while ransomware variants such as RansomHub and BlackSuit have exploited vulnerabilities through phishing and advanced tactics, highlighting the need for organizations to strengthen their defenses with multi-factor authentication and robust security protocols.

Additionally, Iranian cyber actors are collaborating with ransomware affiliates to target U.S. organizations, further complicating the landscape. The convergence of ransomware with cyber espionage, particularly aimed at sensitive intellectual property, signifies a troubling trend that necessitates continuous monitoring and proactive security measures. Organizations are urged to adopt comprehensive cybersecurity strategies, including regular system updates and strong encryption practices, to counter these sophisticated and persistent threats effectively."
Q4 2024,"In Q4 2024, the cybersecurity landscape has been notably impacted by the ongoing threat of HiatusRAT, a Remote Access Trojan targeting edge routers to surreptitiously collect network traffic. Organizations are urged to implement robust cybersecurity measures, including multi-factor authentication and role-based access controls, to defend against such threats. Additionally, the BianLian data extortion group has shifted its focus to exfiltration-based extortion tactics, emphasizing the need for stringent defensive strategies, such as limiting remote desktop access and improving network segmentation.

Concerns regarding operational technology (OT) cybersecurity have also intensified, particularly with the risk of endpoint detection and response tools inadvertently causing data spills. The importance of segregating critical OT networks from less critical ones is underscored by past incidents like the 2017 Hatman malware attack. Furthermore, compromised corporate environments pose risks to privileged IT accounts managing OT systems, highlighting the necessity for comprehensive cybersecurity practices to safeguard against these evolving threats."
Q1 2025,"In the first quarter of 2025, the Medusa and Ghost (Cring) ransomware variants have emerged as significant threats to organizations, emphasizing the need for enhanced cybersecurity measures. Medusa employs a ransomware-as-a-service model with double extortion tactics, while Ghost is notable for its rapidly changing strategies that complicate attribution. As these ransomware types evolve, it is essential for organizations to prioritize security solutions featuring phishing-resistant multi-factor authentication and to maintain regular data backups to effectively mitigate the risks associated with these attacks."
Q2 2025,"In Q2 2025, cyber threats have intensified, particularly from hacktivist groups launching distributed denial of service (DDoS) attacks against U.S. entities and Iranian-affiliated actors collaborating with ransomware groups like Play. The Play group has emerged as a significant threat, utilizing double extortion tactics that have impacted around 900 organizations. Additionally, scams associated with the Philippines-based Funnull Technology Inc. have raised alarms, as fraudulent cryptocurrency investment schemes trick victims into losing funds. 

Emerging threats include the LummaC2 malware, which employs spearphishing tactics to infiltrate networks, and the LabHost phishing-as-a-service platform, linked to thousands of phishing domains and extensive financial theft. State-sponsored cyber operations continue to exploit vulnerabilities, with the Russian GRU targeting Western companies. To combat these evolving threats, organizations are advised to adopt stringent cybersecurity measures, enhance employee training on phishing detection, and stay informed about the latest tactics used by cybercriminals."
Q3 2025,"In the third quarter of 2025, cybercriminal groups UNC6040 and UNC6395 have increasingly targeted Salesforce instances for data theft and extortion, utilizing advanced social engineering tactics such as voice phishing. Victims have reported extortion demands in cryptocurrency linked to the ShinyHunters group, with varying timelines for these demands following data breaches. The emergence of the Scattered Spider group has further complicated the threat landscape, as they employ techniques like SIM swapping and push bombing, often coupled with ransomware attacks, including the evolving Interlock ransomware, which utilizes a double extortion model. 

Emerging threats have demonstrated the need for organizations to adopt robust security measures, including phishing-resistant multi-factor authentication and comprehensive backup strategies. Although law enforcement has made progress in combating malware distribution, such as the takedown of Lumma Stealer, organizations are advised against paying ransoms due to the uncertain outcomes and potential for incentivizing further attacks. The ongoing prevalence of ransomware threats emphasizes the necessity for proactive cybersecurity practices and collaboration with law enforcement to effectively mitigate these risks."
Q4 2025,"In Q4 2025, the Akira ransomware group has emerged as a significant threat, impacting various sectors across North America, Europe, and Australia. This group, which is associated with other malicious entities such as Storm-1567 and the now-defunct Conti group, employs a sophisticated double-extortion strategy that combines file encryption with threats to leak sensitive data. Their recent attacks have targeted both Windows and Linux systems using distinct ransomware variants.

To counter this evolving threat, security experts emphasize the importance of implementing phishing-resistant multifactor authentication and network segmentation. Additionally, organizations are urged to deploy comprehensive monitoring tools to detect abnormal activities that may signify a ransomware compromise, highlighting the need for proactive measures to protect critical infrastructure from the Akira group’s growing tactics."
2020,"In 2020, cybercriminals capitalized on significant software vulnerabilities and the shift to remote work driven by the COVID-19 pandemic, leading to an increase in sophisticated attacks. The SolarWinds incident, characterized by the SUNBURST malware, allowed attackers to infiltrate network management systems, while the emergence of DoppelPaymer ransomware targeted critical sectors such as healthcare and education, demanding hefty ransoms and threatening data leaks. Additionally, Business Email Compromise (BEC) scams surged, exploiting cloud-based email services and resulting in over two billion dollars in losses for U.S. businesses.

The year also saw a notable rise in advanced phishing techniques and credential stuffing attacks, particularly against the financial sector, alongside persistent threats from malware like TrickBot and BazarLoader. Cybercriminals employed tactics such as typosquatting to exploit public trust, posing risks to both individuals and organizations. These trends underscored the urgent need for enhanced cybersecurity measures and public awareness to address the evolving and increasingly sophisticated landscape of cyber threats."
2021,"In 2021, ransomware attacks surged in frequency and impact, with notable threats arising from sophisticated actors exploiting vulnerabilities in widely-used software. Ransomware variants such as Darkside, Conti, and Hive employed aggressive tactics including double extortion and DDoS attacks, targeting critical sectors like healthcare and infrastructure. The FBI reported an increase in targeted attacks that leveraged nonpublic information to coerce victims into paying ransoms quickly, alongside a rise in Business Email Compromise (BEC) incidents affecting government entities.

The evolving cyber threat landscape underscored the necessity for organizations to adopt robust cybersecurity measures. Key recommendations included implementing strong incident response plans, regular antivirus updates, and ongoing user training to recognize phishing attempts. The FBI and CISA also discouraged ransom payments, emphasizing that such actions could incentivize further attacks and fail to ensure data recovery. Overall, 2021 highlighted the sophistication of cybercriminal operations and the urgent need for improved defenses against ransomware and BEC activities."
2022,"In 2022, the cyber threat landscape was significantly marked by the rise of business email compromise (BEC) within the Food and Agriculture sector, where criminals impersonated legitimate companies to execute fraudulent orders, leading to the introduction of counterfeit goods and substantial reputational risks. Concurrently, ransomware attacks escalated, with notable variants such as Cuba and Hive targeting various sectors, including healthcare, where groups like the Daixin Team employed ransomware to disrupt critical services and exfiltrate sensitive information. The FBI and other agencies highlighted the need for enhanced employee training and robust verification processes to combat these threats.

Moreover, the emergence of fraudulent cryptocurrency investment applications showcased a troubling trend as cybercriminals exploited the growing interest in digital currency to deceive investors. Overall, 2022 underscored the urgent need for organizations across all sectors to implement proactive cybersecurity measures, including user training, multi-factor authentication, and vulnerability remediation, to safeguard against increasingly sophisticated cyber threats."
2023,"In 2023, the threat landscape was dominated by the evolution of ransomware, particularly with groups like ALPHV Blackcat and Play employing sophisticated tactics such as double extortion and data exfiltration to compel victims to pay ransoms. Notably, the year saw a significant rise in dual ransomware attacks, where multiple variants targeted the same victims, resulting in profound operational disruptions. Additionally, phishing attacks remained prevalent as a primary vector for initial access, with attackers increasingly impersonating trusted contacts and exploiting known vulnerabilities in systems, especially remote access tools. 

The Cybersecurity and Infrastructure Security Agency (CISA) and the FBI have consistently advised organizations against paying ransoms, stressing that such actions do not guarantee data recovery and may encourage further attacks. Instead, they emphasize the importance of implementing robust cybersecurity practices, such as multifactor authentication, network segmentation, and regular employee training on phishing awareness. The collaborative efforts of the Joint Ransomware Task Force highlight the urgency for organizations to adopt comprehensive defensive strategies to mitigate the evolving ransomware threats effectively."
2024,"In 2024, the cyber threat landscape has become increasingly complex, characterized by the ongoing use of Remote Access Trojans (RATs) such as HiatusRAT, and a notable shift in ransomware tactics, particularly from the BianLian group, which now focuses solely on data exfiltration for extortion. Organizations are strongly advised to bolster their cybersecurity frameworks through measures like role-based access controls, phishing-resistant multifactor authentication, and regular monitoring for abnormal activities. Additionally, the emergence of new ransomware variants like BlackSuit and Phobos has intensified the risk of double-extortion attacks, while state-sponsored actors, particularly from North Korea, continue to leverage sophisticated spearphishing campaigns to exploit weaknesses in organizational defenses.

The rise of malware such as Androxgh0st and the formation of botnets underscore the necessity for continuous vigilance and proactive security strategies. Key recommendations for organizations include implementing robust network segmentation, enhancing email security protocols, and developing comprehensive recovery plans to mitigate the impacts of ransomware and other cyber threats. Overall, the emphasis remains on proactive measures to strengthen cybersecurity resilience against the dynamic and evolving threat landscape of 2024."
2025,"In 2025, cyber threats have escalated significantly, with ransomware attacks, particularly from the Akira, Play, Interlock, and Medusa variants, targeting critical infrastructure and companies across North America, Europe, and Australia. These groups employ a double-extortion model, encrypting data while threatening to leak sensitive information, often utilizing sophisticated tactics like phishing and exploiting Remote Desktop Protocols for initial access. The rise of social engineering techniques, particularly targeting platforms like Salesforce, highlights the need for organizations to adopt phishing-resistant multifactor authentication, implement network segmentation, and regularly monitor network activities to mitigate these threats.

Additionally, the emergence of platforms like LabHost has made phishing more accessible, enabling extensive financial fraud and information theft. The ongoing campaigns by state-sponsored actors, such as the Russian GRU, further complicate the threat landscape. In response, organizations are encouraged to enhance their cybersecurity measures, including robust authentication methods and continuous training for staff, to protect against evolving threats and safeguard operational integrity and customer data."
Overall 2020–2025,"Between 2020 and 2025, the cyber threat landscape has become increasingly dominated by sophisticated ransomware attacks and advanced cybercriminal tactics. Ransomware groups, including LockBit, Akira, and Medusa, have employed double and triple extortion strategies, not only encrypting sensitive data but also threatening to leak it if ransoms are not paid. The frequency and complexity of these attacks have particularly targeted critical infrastructure, healthcare, and local government sectors, resulting in significant operational disruptions and financial losses. Concurrently, the rise of Business Email Compromise (BEC) schemes and malware-based phishing attacks has amplified vulnerabilities, exploiting the shift towards remote work and the growing use of digital communication tools.

The period has also seen a notable increase in ransomware-as-a-service (RaaS) models, enabling less technically skilled criminals to engage in sophisticated cyber attacks. State-sponsored actors have further complicated the landscape, utilizing tactics that blend ransomware with espionage, particularly in geopolitical contexts. Overall, the evolving nature of these threats underscores the urgent need for organizations to adopt robust cybersecurity measures, including phishing-resistant multi-factor authentication, regular software updates, and comprehensive employee training to mitigate risks and enhance resilience against ongoing cyber threats."
